Gender,Age,Enjoyment_Level,Books_bought,Genre,Theme,Motivation,Choices,Focus,Time,Frequency,Place,Medium,Place_of_Purchase,Recommendation_Source,Favourite_Book
Male,18-21,3,1,"Fiction, Mystery, Adventure, Fantasy, Comics, Sci-Fi","Survival, Coming of age, Suffering, Moral ambiguity","Recommendations from a friend, Enjoyment, Relaxation","Well-written descriptive detail, Witty or believable dialogue, Interesting character arcs, In-depth lore that you can escape into outside the confines of a book",Plot focused,"Morning, Afternoon, Evening, Night","Daily, <30 minutes",At home,Print book,"Online, places like Amazon, Book Stores",Friends,Lord of the Rings
Male,18-21,5,9,"Fiction, Mystery, Fantasy, Self Help","Survival, Power and corruption, Moral ambiguity","Personality Development, Enjoyment, Relaxation","Well-written descriptive detail, In-depth lore that you can escape into outside the confines of a book",Plot focused,Night,"Daily, <30 minutes",At home,Print book,"Online, places like Amazon, Book Stores","Online/Social Media, Friends, I like to browse books on my own",The Alchemist
Male,Above 25,3,3,"Fiction, Biography, Comics","Survival, Other","Enjoyment, Relaxation","Interesting character arcs, In-depth lore that you can escape into outside the confines of a book",Plot focused,Night,"Weekly, once",At home,"Print book, E-book","Online, places like Amazon","Online/Social Media, Friends",None
Male,21-24,1,0,"Comics, Sci-Fi",Power and corruption,"Recommendations from a friend, Personality Development",Well-written descriptive detail,Character focused,Morning,"Daily, > 60 minutes","At home, In a group","E-book, Applications","Online, places like Amazon, Book Stores","Online/Social Media, I like to browse books on my own",Harry Potter
Male,21-24,4,25,Fiction,Coming of age,"School/College Assignments, Enjoyment","Well-written descriptive detail, Witty or believable dialogue, Interesting character arcs",Character focused,Afternoon,"Weekly, thrice",While commuting,"Applications, Others","Online, places like Amazon","Online/Social Media, I like to browse books on my own",Harry Potter
Female,18-21,5,10,"Mystery, Adventure","Rebellion, Vengeance, Survival, Suffering","Personality Development, Enjoyment, Relaxation","Well-written descriptive detail, Witty or believable dialogue, In-depth lore that you can escape into outside the confines of a book",Plot focused,Night,"Daily, 30-60minutes",At home,"Print book, Magazines, Newspaper, Websites","Online, places like Amazon, Book Stores",Online/Social Media,A Little Life by Hanya Yanagihara
Male,18-21,1,0,"Fiction, Mystery","Vengeance, Survival, Other","School/College Assignments, Enjoyment","Interesting character arcs, Exciting action scenes",Character focused,Night,I don't prefer reading,Other,Others,"Online, places like Amazon",Online/Social Media,None
Male,18-21,3,1,"Fiction, Sci-Fi","Rebellion, Survival","School/College Assignments, Recommendations from a friend","Well-written descriptive detail, Witty or believable dialogue",Plot focused,"Evening, Night",I don't prefer reading,In a library,"E-book, Applications",Other,Friends,None
Male,Above 25,5,0,"Biography, Self Help, Other",Other,"Enjoyment, Relaxation","Well-written descriptive detail, Complicated or multi-step plot, Exciting action scenes",Plot focused,Morning,"Daily, 30-60minutes",At home,"Magazines, Newspaper","Book Stores, Other","Friends, I like to browse books on my own",The monk who sold his Ferrari
Female,Above 25,2,2,"Fiction, Romance, Comics","Love (romance), Survival, Other","School/College Assignments, Recommendations from a friend, Personality Development","Well-written descriptive detail, Interesting character arcs, Exciting action scenes",Character focused,Evening,"Weekly, once",At home,"Print book, E-book","Online, places like Amazon, Book Stores, Book Orders/Book Fairs from school","Online/Social Media, Friends",A book called managing your emotions by Joyce Meyer
Female,Below 18,5,15,"Fiction, Mystery, Adventure, Romance","Love (romance), Moral ambiguity",Enjoyment,"Witty or believable dialogue, Interesting character arcs, Complicated or multi-step plot, In-depth lore that you can escape into outside the confines of a book",Plot focused,Night,"Daily, > 60 minutes",At home,"Print book, E-book, Magazines, Newspaper, Websites","Online, places like Amazon","Online/Social Media, I like to browse books on my own",Heaven Official's Blessings
Female,Below 18,5,5,"Fiction, Mystery, Romance, Self Help","Love (romance), Moral ambiguity","Personality Development, Enjoyment, Relaxation","Witty or believable dialogue, Interesting character arcs, In-depth lore that you can escape into outside the confines of a book",Character focused,"Morning, Afternoon, Evening, Night","Daily, > 60 minutes",At home,"Print book, E-book","Online, places like Amazon, Book Stores","Online/Social Media, I like to browse books on my own",Many. Classics preferably. Pride and prejudice. After series.
Other,18-21,4,15,"Fiction, Mystery, Adventure, Romance","Rebellion, Vengeance, Love (romance), Survival, Coming of age, Suffering, Moral ambiguity","Personality Development, Enjoyment, Relaxation","Well-written descriptive detail, Complicated or multi-step plot, In-depth lore that you can escape into outside the confines of a book",Character focused,Night,"Daily, 30-60minutes","In a library, While commuting, At home",Print book,"Online, places like Amazon, Other","Online/Social Media, I like to browse books on my own",A thousand splendid suns
Female,18-21,5,30,"Fiction, Biography, Other","Rebellion, Coming of age, Power and corruption, Moral ambiguity",Personality Development,"Well-written descriptive detail, Witty or believable dialogue",Character focused,"Morning, Evening","Daily, 30-60minutes","In a library, At home","Print book, E-book",Book Stores,Online/Social Media,Jane Eyre by Charlotte Bront�
Female,21-24,4,10,"Fiction, Mystery, Adventure","Coming of age, Suffering, Power and corruption, Moral ambiguity","School/College Assignments, Enjoyment, Relaxation","Well-written descriptive detail, Witty or believable dialogue, Interesting character arcs, In-depth lore that you can escape into outside the confines of a book",Plot focused,Night,"Daily, <30 minutes",At home,"Print book, E-book, Websites","Online, places like Amazon, Book Stores",Online/Social Media,Fault lines by Meena Alexander
Female,Below 18,5,10,"Fiction, Mystery, Adventure, Biography, Fantasy, Romance, Self Help, Other","Love (romance), Coming of age, Power and corruption, Moral ambiguity, Other","Recommendations from a friend, Personality Development, Enjoyment, Relaxation","Well-written descriptive detail, Witty or believable dialogue, Interesting character arcs, Other",Character focused,"Afternoon, Evening, Night","Daily, <30 minutes","While commuting, At home","Print book, E-book, Websites","Online, places like Amazon, Book Stores, Book Orders/Book Fairs from school","Online/Social Media, Friends, I like to browse books on my own","none, I can�t possibly pick a favorite book"
Female,Below 18,5,25,"Fiction, Mystery, Adventure, Fantasy, Romance","Love (romance), Coming of age, Other","Recommendations from a friend, Enjoyment, Relaxation","Well-written descriptive detail, Witty or believable dialogue, Interesting character arcs, Complicated or multi-step plot, In-depth lore that you can escape into outside the confines of a book, Exciting action scenes, Other",Plot focused,"Evening, Night","Daily, 30-60minutes",At home,"Print book, E-book, Others","Online, places like Amazon, Book Stores, Book Orders/Book Fairs from school","Online/Social Media, Friends, I like to browse books on my own",None in particular
Female,Below 18,5,30,"Fiction, Mystery, Adventure, Fantasy, Sci-Fi","Rebellion, Survival, Suffering, Power and corruption, Other","Personality Development, Enjoyment, Relaxation","Interesting character arcs, Complicated or multi-step plot, In-depth lore that you can escape into outside the confines of a book, Exciting action scenes, Other",Plot focused,"Afternoon, Evening","Daily, > 60 minutes","In a library, At home",Print book,"Online, places like Amazon, Book Stores","Online/Social Media, Friends, I like to browse books on my own",Renegades
Female,18-21,5,0,"Fiction, Mystery, Adventure, Biography, Fantasy, Romance, Comics","Survival, Other","Personality Development, Enjoyment","Well-written descriptive detail, Complicated or multi-step plot, In-depth lore that you can escape into outside the confines of a book",Plot focused,"Morning, Afternoon, Evening, Night","Daily, 30-60minutes",At home,Print book,"Online, places like Amazon","Online/Social Media, I like to browse books on my own",Asylum
Female,Below 18,5,7,"Mystery, Adventure, Fantasy, Romance",Love (romance),"Enjoyment, Relaxation","Well-written descriptive detail, Complicated or multi-step plot",Plot focused,Afternoon,"Daily, 30-60minutes",At home,Print book,"Online, places like Amazon, Book Stores","Online/Social Media, I like to browse books on my own","\The fault in our stars\"" and \""they both died at the end\"""""
Female,18-21,5,15,"Fiction, Mystery, Adventure, Comics","Rebellion, Survival, Coming of age, Moral ambiguity, Other","Personality Development, Enjoyment, Relaxation","Well-written descriptive detail, Witty or believable dialogue, Interesting character arcs, In-depth lore that you can escape into outside the confines of a book",Character focused,Evening,"Daily, > 60 minutes","In a library, At home","Print book, Applications, Websites","Online, places like Amazon, Book Stores, Book Orders/Book Fairs from school","Online/Social Media, I like to browse books on my own",101 essays that will change the way you think --- BRIANNA WIEST<U+0001F4DA><U+2763>
Male,Below 18,4,30,"Fiction, Mystery, Adventure, Romance","Love (romance), Moral ambiguity","Personality Development, Enjoyment, Relaxation","Witty or believable dialogue, Complicated or multi-step plot, In-depth lore that you can escape into outside the confines of a book, Exciting action scenes",Plot focused,"Morning, Evening, Night","Daily, 30-60minutes","In a library, Other",Print book,"Online, places like Amazon, Book Stores",I like to browse books on my own,The invisible life of Addie Larue
Female,Below 18,5,0,"Fiction, Mystery, Adventure, Fantasy, Romance, Comics, Other","Rebellion, Vengeance, Love (romance), Survival, Coming of age, Suffering, Power and corruption, Other","Personality Development, Enjoyment, Relaxation","Well-written descriptive detail, Witty or believable dialogue, Interesting character arcs, In-depth lore that you can escape into outside the confines of a book, Other",Plot focused,"Morning, Afternoon, Evening, Night","Daily, > 60 minutes","At home, Other","E-book, Applications, Websites, Others",Other,"Online/Social Media, Friends, I like to browse books on my own, Other",None
Female,18-21,5,0,Fiction,"Love (romance), Coming of age, Moral ambiguity",Enjoyment,In-depth lore that you can escape into outside the confines of a book,Plot focused,Evening,"Weekly, thrice",Other,"Print book, E-book","Online, places like Amazon, Book Stores",I like to browse books on my own,a little life
Female,Above 25,5,20,"Fiction, Mystery, Adventure, Fantasy, Romance, Self Help","Rebellion, Vengeance, Love (romance)","Personality Development, Enjoyment, Relaxation","Well-written descriptive detail, Witty or believable dialogue, Interesting character arcs, Complicated or multi-step plot, In-depth lore that you can escape into outside the confines of a book, Exciting action scenes",Character focused,Evening,"Daily, 30-60minutes","In a library, While commuting, At home",Print book,Book Stores,"Friends, I like to browse books on my own",The Midnight Library
Female,18-21,5,15,"Fiction, Mystery, Adventure, Biography, Sci-Fi, Self Help, Other","Rebellion, Coming of age, Suffering, Power and corruption, Moral ambiguity","Recommendations from a friend, Personality Development, Enjoyment, Relaxation","Well-written descriptive detail, Witty or believable dialogue, Complicated or multi-step plot, In-depth lore that you can escape into outside the confines of a book, Other",Plot focused,Afternoon,"Weekly, once","At home, Other","Print book, E-book, Applications",Other,"Online/Social Media, Friends",The life of Aicha Oum El Mou�minin
Female,Above 25,5,0,"Fantasy, Romance, Other","Love (romance), Suffering, Other","School/College Assignments, Personality Development, Enjoyment, Relaxation","Well-written descriptive detail, Witty or believable dialogue, Interesting character arcs, Exciting action scenes, Other",Plot focused,"Afternoon, Night","Daily, 30-60minutes",At home,Others,"Online, places like Amazon, Book Stores, Book Orders/Book Fairs from school, Other","I like to browse books on my own, Other",Fifty shades seasons
Female,18-21,5,10,"Fiction, Mystery, Adventure, Biography, Fantasy, Romance, Comics, Sci-Fi, Self Help, Other","Rebellion, Vengeance, Love (romance), Suffering, Moral ambiguity, Other","Personality Development, Enjoyment, Relaxation","Well-written descriptive detail, Witty or believable dialogue, Interesting character arcs, Complicated or multi-step plot, In-depth lore that you can escape into outside the confines of a book, Exciting action scenes",Character focused,Night,"Daily, 30-60minutes","In a library, While commuting, At home","Print book, E-book","Online, places like Amazon, Book Stores, Book Orders/Book Fairs from school","Online/Social Media, Friends, I like to browse books on my own",Norwegian wood- Haruki Murakami (one of my recent reads)
Male,18-21,4,0,"Fiction, Mystery, Adventure, Romance, Sci-Fi","Rebellion, Love (romance), Survival, Suffering","Personality Development, Enjoyment, Relaxation","Well-written descriptive detail, Interesting character arcs, In-depth lore that you can escape into outside the confines of a book, Exciting action scenes",Plot focused,"Evening, Night","Daily, 30-60minutes","In a library, At home","Print book, E-book, Applications","Online, places like Amazon, Book Stores","Online/Social Media, I like to browse books on my own",None.
Female,18-21,5,0,"Fiction, Mystery, Adventure, Biography, Fantasy, Romance, Sci-Fi, Other","Rebellion, Love (romance), Survival, Coming of age, Suffering, Power and corruption, Moral ambiguity, Other","Enjoyment, Relaxation","Well-written descriptive detail, Interesting character arcs, Complicated or multi-step plot, In-depth lore that you can escape into outside the confines of a book, Exciting action scenes, Other",Character focused,"Morning, Afternoon, Evening, Night","Daily, > 60 minutes","In a library, While commuting, At home, In a group, Other","Applications, Websites, Others",Other,"Online/Social Media, Friends, I like to browse books on my own",la solitudine dei numeri primi
Female,Below 18,5,0,"Fiction, Mystery, Fantasy, Romance","Rebellion, Vengeance, Love (romance), Coming of age","Recommendations from a friend, Enjoyment, Relaxation","Well-written descriptive detail, Witty or believable dialogue, Interesting character arcs, In-depth lore that you can escape into outside the confines of a book",Character focused,Night,"Daily, <30 minutes","In a library, At home","Print book, E-book, Applications","Online, places like Amazon","Online/Social Media, Friends, I like to browse books on my own",IT ENDS WITH US
Female,18-21,5,10,"Fiction, Mystery, Adventure, Fantasy, Sci-Fi","Survival, Power and corruption, Moral ambiguity","Recommendations from a friend, Personality Development, Enjoyment, Relaxation","Witty or believable dialogue, Interesting character arcs, Complicated or multi-step plot",Character focused,"Evening, Night","Weekly, thrice",At home,"Print book, Applications, Websites","Online, places like Amazon, Book Stores","Online/Social Media, I like to browse books on my own",Ghici ce-i in cutie
Female,Below 18,5,15,"Fiction, Fantasy, Romance","Rebellion, Love (romance), Coming of age, Suffering","Personality Development, Enjoyment, Relaxation","Witty or believable dialogue, Interesting character arcs, Complicated or multi-step plot, In-depth lore that you can escape into outside the confines of a book, Exciting action scenes",Character focused,"Morning, Afternoon, Evening, Night","Daily, 30-60minutes","At home, In a group, Other","Print book, E-book","Online, places like Amazon, Book Stores","Online/Social Media, Friends, I like to browse books on my own",Silver
Female,18-21,5,70,"Fiction, Mystery, Adventure, Fantasy, Romance","Rebellion, Love (romance), Coming of age, Power and corruption, Moral ambiguity","Personality Development, Enjoyment, Relaxation","Well-written descriptive detail, Witty or believable dialogue, Interesting character arcs, Complicated or multi-step plot, In-depth lore that you can escape into outside the confines of a book",Character focused,"Morning, Afternoon, Evening, Night","Daily, > 60 minutes","While commuting, At home","Print book, E-book, Applications","Online, places like Amazon, Book Stores","Online/Social Media, Friends, I like to browse books on my own",she drives me crazy
Female,21-24,5,10,"Fiction, Romance",Love (romance),Enjoyment,"Well-written descriptive detail, Witty or believable dialogue, Interesting character arcs",Plot focused,"Morning, Afternoon, Evening, Night","Daily, > 60 minutes","While commuting, At home","Print book, E-book","Online, places like Amazon, Book Stores, Book Orders/Book Fairs from school","Online/Social Media, I like to browse books on my own",The cheat sheet by Sarah Adams
Female,Below 18,4,5,"Fiction, Mystery, Biography, Fantasy, Romance, Other","Love (romance), Survival, Coming of age, Suffering, Moral ambiguity","Personality Development, Enjoyment, Relaxation","Well-written descriptive detail, Witty or believable dialogue, Interesting character arcs, Complicated or multi-step plot, In-depth lore that you can escape into outside the confines of a book",Character focused,"Morning, Evening","Weekly, thrice","In a library, At home",Print book,Book Stores,I like to browse books on my own,She Said Yes
Female,18-21,5,30,"Fiction, Adventure, Fantasy, Sci-Fi","Rebellion, Vengeance, Love (romance), Survival, Coming of age, Suffering, Power and corruption, Moral ambiguity","School/College Assignments, Recommendations from a friend, Enjoyment, Relaxation","Witty or believable dialogue, Interesting character arcs, In-depth lore that you can escape into outside the confines of a book",Character focused,"Evening, Night","Daily, <30 minutes",At home,Print book,"Online, places like Amazon, Book Stores","Online/Social Media, Friends, I like to browse books on my own",Out of the silent planet - c s lewis
Male,18-21,4,17,"Biography, Comics, Sci-Fi, Self Help, Other","Rebellion, Vengeance, Survival, Power and corruption, Moral ambiguity, Other","Personality Development, Enjoyment, Relaxation","Well-written descriptive detail, Witty or believable dialogue, In-depth lore that you can escape into outside the confines of a book",Plot focused,"Morning, Afternoon, Evening, Night","Weekly, thrice","In a library, At home, Other","Print book, E-book, Applications, Websites, Others","Online, places like Amazon, Book Stores","Online/Social Media, I like to browse books on my own",The dairy of the young girl.
Female,Below 18,5,0,"Fiction, Mystery, Fantasy, Romance, Comics","Rebellion, Love (romance), Moral ambiguity","Personality Development, Enjoyment, Relaxation","Well-written descriptive detail, Witty or believable dialogue, Interesting character arcs, In-depth lore that you can escape into outside the confines of a book",Character focused,"Morning, Afternoon, Evening, Night","Daily, > 60 minutes","In a library, While commuting, At home","Print book, E-book","Online, places like Amazon, Book Stores","Online/Social Media, Friends, I like to browse books on my own",I can�t course just one :/
Male,Below 18,5,5,"Fiction, Biography, Fantasy",Love (romance),"Personality Development, Enjoyment, Relaxation","Well-written descriptive detail, Witty or believable dialogue, Exciting action scenes",Character focused,"Morning, Afternoon, Evening, Night","Daily, > 60 minutes",At home,Print book,"Online, places like Amazon",Friends,Harry Potter
Other,Below 18,4,0,"Fiction, Mystery, Adventure, Fantasy, Romance","Vengeance, Love (romance), Survival","Recommendations from a friend, Personality Development, Enjoyment, Relaxation","Interesting character arcs, In-depth lore that you can escape into outside the confines of a book, Exciting action scenes",Character focused,"Morning, Evening","Daily, 30-60minutes","In a library, While commuting, At home","Print book, Websites",Book Stores,"Online/Social Media, I like to browse books on my own",Scarlet and Ivy book series by sophie cleverly
Female,Below 18,4,0,"Mystery, Adventure, Romance","Love (romance), Coming of age, Moral ambiguity","Enjoyment, Relaxation","Well-written descriptive detail, Interesting character arcs, In-depth lore that you can escape into outside the confines of a book",Plot focused,"Evening, Night","Weekly, thrice",At home,Websites,Book Stores,Friends,1984 bu George Orwell
Female,18-21,5,3,"Fiction, Fantasy, Romance, Other",Love (romance),"Enjoyment, Relaxation","In-depth lore that you can escape into outside the confines of a book, Other",Plot focused,"Morning, Afternoon, Evening, Night","Daily, 30-60minutes","At home, Other",Print book,"Online, places like Amazon, Book Stores","Friends, I like to browse books on my own, Other",A thing beyond forevee
Female,Below 18,5,5,"Fiction, Mystery, Romance","Love (romance), Coming of age","Enjoyment, Relaxation","Well-written descriptive detail, Interesting character arcs",Character focused,Night,"Weekly, thrice",At home,Print book,"Online, places like Amazon","Online/Social Media, I like to browse books on my own",One arranged murder
Female,18-21,5,30,"Fiction, Adventure, Biography, Fantasy, Romance, Self Help","Love (romance), Survival, Coming of age, Power and corruption, Moral ambiguity, Other","Personality Development, Enjoyment, Relaxation","Well-written descriptive detail, Complicated or multi-step plot",Character focused,"Afternoon, Night","Daily, 30-60minutes",At home,Print book,Book Stores,"Online/Social Media, I like to browse books on my own",Little women
Female,18-21,5,2,Mystery,Vengeance,Enjoyment,Interesting character arcs,Character focused,Evening,"Daily, > 60 minutes",At home,E-book,"Online, places like Amazon",Online/Social Media,Twilight
Female,Below 18,5,50,"Fiction, Fantasy, Romance","Rebellion, Vengeance, Love (romance), Coming of age, Moral ambiguity","Enjoyment, Relaxation","Well-written descriptive detail, Interesting character arcs, In-depth lore that you can escape into outside the confines of a book",Character focused,"Evening, Night","Daily, > 60 minutes",At home,"Print book, E-book","Online, places like Amazon, Book Stores","Online/Social Media, Friends, I like to browse books on my own",So many
Male,18-21,4,6,"Fiction, Mystery, Adventure, Fantasy, Self Help","Rebellion, Vengeance, Coming of age, Suffering, Power and corruption, Moral ambiguity",Personality Development,"Well-written descriptive detail, Witty or believable dialogue, Interesting character arcs, Complicated or multi-step plot, In-depth lore that you can escape into outside the confines of a book",Plot focused,"Afternoon, Night","Daily, 30-60minutes",At home,Print book,"Online, places like Amazon","Online/Social Media, I like to browse books on my own",The subtle art of not giving a fuck
Female,18-21,4,0,"Fiction, Adventure, Fantasy, Romance, Sci-Fi","Love (romance), Coming of age, Suffering, Power and corruption, Moral ambiguity","Enjoyment, Relaxation","Well-written descriptive detail, Witty or believable dialogue, Interesting character arcs, Complicated or multi-step plot, In-depth lore that you can escape into outside the confines of a book, Exciting action scenes",Plot focused,"Afternoon, Evening, Night","Daily, 30-60minutes",At home,"Print book, Applications, Websites",Other,I like to browse books on my own,Luz de Luci�rnaga (Firefly Light)
Female,18-21,5,5,"Fiction, Mystery, Adventure, Fantasy, Romance, Self Help, Other","Rebellion, Vengeance, Love (romance), Survival, Coming of age, Suffering, Moral ambiguity, Other","School/College Assignments, Personality Development, Enjoyment, Relaxation","Well-written descriptive detail, Witty or believable dialogue, Interesting character arcs, Complicated or multi-step plot, In-depth lore that you can escape into outside the confines of a book, Exciting action scenes, Other",Plot focused,"Afternoon, Night","Daily, > 60 minutes","While commuting, At home","Print book, Magazines, Newspaper, Websites, Others","Online, places like Amazon, Book Stores, Book Orders/Book Fairs from school","Online/Social Media, Ads on TV/Computer, I like to browse books on my own, Other",Inferno by Dan Brown
Female,Below 18,5,5,"Fiction, Mystery, Romance","Love (romance), Coming of age, Power and corruption, Moral ambiguity","Personality Development, Enjoyment, Relaxation","Well-written descriptive detail, Interesting character arcs, In-depth lore that you can escape into outside the confines of a book",Character focused,Night,"Weekly, thrice","In a library, At home, Other",Print book,"Online, places like Amazon, Book Stores","Online/Social Media, Friends","The Far Pavilions, by M.M.Kaye"
Female,18-21,5,15,"Fiction, Mystery, Adventure, Fantasy, Romance, Sci-Fi","Rebellion, Love (romance), Survival, Coming of age, Suffering, Moral ambiguity","Recommendations from a friend, Enjoyment, Relaxation","Well-written descriptive detail, Witty or believable dialogue, Interesting character arcs, In-depth lore that you can escape into outside the confines of a book, Exciting action scenes",Character focused,"Afternoon, Evening","Daily, 30-60minutes",At home,Print book,"Online, places like Amazon, Book Stores","Online/Social Media, Friends, I like to browse books on my own",Lady midnight
Female,Above 25,5,2,"Fiction, Mystery, Adventure, Fantasy, Romance, Self Help","Love (romance), Survival, Coming of age, Power and corruption, Moral ambiguity","Personality Development, Enjoyment, Relaxation","Well-written descriptive detail, Interesting character arcs, In-depth lore that you can escape into outside the confines of a book, Exciting action scenes",Character focused,Night,"Weekly, thrice",At home,Print book,Book Stores,"Online/Social Media, I like to browse books on my own",the monk who sold his ferrari
Female,18-21,5,8,"Fiction, Mystery, Romance, Self Help","Rebellion, Love (romance), Survival","Enjoyment, Relaxation","Witty or believable dialogue, In-depth lore that you can escape into outside the confines of a book",Plot focused,Evening,"Daily, 30-60minutes",In a library,Print book,"Book Orders/Book Fairs from school, Other","Online/Social Media, Friends, I like to browse books on my own",Veronika decides to die
Female,Below 18,5,5,Romance,Love (romance),Relaxation,In-depth lore that you can escape into outside the confines of a book,Character focused,Night,"Daily, > 60 minutes",At home,Print book,Book Stores,I like to browse books on my own,strange fits of passion have i known
Female,Below 18,4,15,"Fiction, Adventure, Biography, Romance, Comics","Rebellion, Vengeance, Love (romance), Coming of age, Power and corruption, Moral ambiguity","School/College Assignments, Recommendations from a friend, Enjoyment","Witty or believable dialogue, Interesting character arcs, In-depth lore that you can escape into outside the confines of a book, Exciting action scenes",Character focused,Evening,"Weekly, once",While commuting,Print book,"Online, places like Amazon, Book Stores, Book Orders/Book Fairs from school, Other","Online/Social Media, Friends, I like to browse books on my own",Restaurant Babylon
Female,21-24,5,8,"Fiction, Adventure, Fantasy, Comics","Vengeance, Love (romance), Coming of age, Suffering, Other","Enjoyment, Relaxation","Interesting character arcs, In-depth lore that you can escape into outside the confines of a book",Character focused,"Afternoon, Evening, Night","Daily, > 60 minutes","In a library, At home","Print book, E-book","Book Stores, Book Orders/Book Fairs from school","Friends, I like to browse books on my own",Fault in our stars
Female,18-21,5,20,"Fiction, Romance","Love (romance), Suffering","Recommendations from a friend, Relaxation","Witty or believable dialogue, Interesting character arcs, In-depth lore that you can escape into outside the confines of a book",Character focused,"Afternoon, Night","Daily, 30-60minutes",At home,Print book,"Online, places like Amazon, Book Stores","Friends, I like to browse books on my own",metamorphosis
Female,Below 18,5,200,"Fiction, Mystery, Adventure, Fantasy, Romance, Comics, Sci-Fi, Other","Rebellion, Vengeance, Love (romance), Survival, Coming of age, Suffering, Power and corruption, Moral ambiguity, Other","Enjoyment, Relaxation","Well-written descriptive detail, Witty or believable dialogue, Interesting character arcs, Complicated or multi-step plot, In-depth lore that you can escape into outside the confines of a book, Exciting action scenes, Other",Plot focused,"Morning, Afternoon, Evening, Night","Daily, > 60 minutes","In a library, While commuting, At home, In a group, Other","Print book, E-book, Applications, Websites","Online, places like Amazon, Book Stores, Book Orders/Book Fairs from school","Online/Social Media, I like to browse books on my own","Her soul to take, Ugly Love, believe me, verity, never never, the song of achilles,"
Female,21-24,5,10,"Fiction, Adventure, Fantasy, Romance","Rebellion, Love (romance), Coming of age, Moral ambiguity","Recommendations from a friend, Enjoyment, Relaxation","Well-written descriptive detail, Witty or believable dialogue, Interesting character arcs, In-depth lore that you can escape into outside the confines of a book, Exciting action scenes",Character focused,Night,"Daily, 30-60minutes",At home,"Print book, E-book","Book Stores, Other","Online/Social Media, Friends, I like to browse books on my own",None
Female,Below 18,5,0,"Fiction, Mystery, Fantasy, Romance, Comics","Vengeance, Love (romance)","Enjoyment, Relaxation","Well-written descriptive detail, Interesting character arcs, In-depth lore that you can escape into outside the confines of a book, Exciting action scenes",Character focused,"Afternoon, Evening, Night","Daily, 30-60minutes","In a library, At home","Print book, Websites","Online, places like Amazon, Book Stores","Online/Social Media, I like to browse books on my own",A court of thorns and roses
Female,21-24,4,20,"Fiction, Adventure, Fantasy, Romance","Rebellion, Vengeance, Love (romance), Survival, Moral ambiguity, Other","Recommendations from a friend, Personality Development, Enjoyment, Relaxation","Well-written descriptive detail, Witty or believable dialogue, Interesting character arcs, In-depth lore that you can escape into outside the confines of a book",Character focused,"Afternoon, Evening","Weekly, thrice","In a library, At home, Other",Print book,"Online, places like Amazon, Book Stores","Online/Social Media, I like to browse books on my own",The Atlas Six by Olivie Blake
Female,Below 18,4,13,"Mystery, Adventure, Romance, Other","Love (romance), Suffering, Other","Personality Development, Enjoyment, Relaxation","Well-written descriptive detail, Witty or believable dialogue, Complicated or multi-step plot",Character focused,"Evening, Night","Daily, 30-60minutes","At home, Other",Print book,"Online, places like Amazon, Book Stores","Online/Social Media, I like to browse books on my own",The cruel prince
Female,18-21,4,5,"Fiction, Mystery, Adventure, Romance, Sci-Fi",Love (romance),Enjoyment,"Well-written descriptive detail, Interesting character arcs, In-depth lore that you can escape into outside the confines of a book",Plot focused,Evening,"Daily, 30-60minutes",At home,Print book,Book Stores,Online/Social Media,none
Female,18-21,5,5,"Fiction, Mystery, Biography, Romance, Sci-Fi","Rebellion, Love (romance), Survival, Suffering, Power and corruption","Personality Development, Enjoyment, Relaxation","Well-written descriptive detail, Witty or believable dialogue, Interesting character arcs, In-depth lore that you can escape into outside the confines of a book",Plot focused,"Evening, Night","Daily, > 60 minutes","In a library, At home","Print book, Applications","Online, places like Amazon, Book Stores",I like to browse books on my own,The Subtle Art of Not Giving A Fuck
Male,18-21,5,5,"Fiction, Mystery, Adventure, Biography, Fantasy, Romance, Comics, Sci-Fi, Self Help, Other","Survival, Coming of age, Other","School/College Assignments, Enjoyment, Relaxation","Well-written descriptive detail, Witty or believable dialogue, Interesting character arcs, Complicated or multi-step plot, In-depth lore that you can escape into outside the confines of a book, Exciting action scenes, Other",Character focused,"Afternoon, Evening","Weekly, once","While commuting, At home",Print book,"Online, places like Amazon, Book Stores","Friends, I like to browse books on my own",Where the Mountain Meets the Moon
Male,Above 25,4,12,"Fiction, Mystery","Rebellion, Vengeance, Power and corruption, Moral ambiguity","Personality Development, Enjoyment, Relaxation","Well-written descriptive detail, Witty or believable dialogue, Interesting character arcs, Complicated or multi-step plot, In-depth lore that you can escape into outside the confines of a book",Plot focused,Night,"Daily, 30-60minutes",At home,Print book,"Online, places like Amazon, Book Stores",I like to browse books on my own,The left hand of god
Female,18-21,4,40,"Fiction, Mystery, Romance, Sci-Fi, Other","Rebellion, Vengeance, Love (romance), Survival, Coming of age, Suffering, Moral ambiguity","Recommendations from a friend, Personality Development, Enjoyment","Witty or believable dialogue, Interesting character arcs, Complicated or multi-step plot, In-depth lore that you can escape into outside the confines of a book, Exciting action scenes",Character focused,"Evening, Night","Daily, <30 minutes","At home, Other",Print book,"Book Stores, Book Orders/Book Fairs from school","Online/Social Media, Friends, I like to browse books on my own",None
